Date : 2024-12-19 18:57:09
Directory : d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-admin
Total : 241 files,  276020 codes, 109118 comments, 54295 blanks, all 439433 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         96 |    238,982 |    108,922 |     53,705 |    401,609 |
| JSON       |          2 |     29,185 |          0 |          2 |     29,187 |
| Vue        |         56 |      6,552 |        123 |        357 |      7,032 |
| SCSS       |          8 |        699 |         31 |        168 |        898 |
| HTML       |          7 |        431 |         14 |         37 |        482 |
| XML        |         55 |        150 |          0 |          4 |        154 |
| CSS        |         15 |         15 |         15 |         16 |         46 |
| YAML       |          1 |          5 |         13 |          5 |         23 |
| Properties |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                   |        241 |    276,020 |    109,118 |     54,295 |    439,433 |
| . (Files)                                                                                                                                                                           |          7 |     29,262 |          1 |          9 |     29,272 |
| public                                                                                                                                                                              |         82 |    237,999 |    108,763 |     53,605 |    400,367 |
| public (Files)                                                                                                                                                                      |          1 |         48 |          1 |          5 |         54 |
| public\admin                                                                                                                                                                        |         81 |    237,951 |    108,762 |     53,600 |    400,313 |
| public\admin\components                                                                                                                                                             |         81 |    237,951 |    108,762 |     53,600 |    400,313 |
| public\admin\components\echarts                                                                                                                                                     |         29 |    237,510 |    108,701 |     53,548 |    399,759 |
| public\admin\components\echarts (Files)                                                                                                                                             |         12 |    232,726 |    107,838 |     53,244 |    393,808 |
| public\admin\components\echarts\extension                                                                                                                                           |          4 |        486 |        608 |        223 |      1,317 |
| public\admin\components\echarts\theme                                                                                                                                               |         13 |      4,298 |        255 |         81 |      4,634 |
| public\admin\components\echarts\theme (Files)                                                                                                                                       |          6 |        735 |        128 |         64 |        927 |
| public\admin\components\echarts\theme\tool                                                                                                                                          |          7 |      3,563 |        127 |         17 |      3,707 |
| public\admin\components\echarts\theme\tool (Files)                                                                                                                                  |          1 |         57 |         18 |          7 |         82 |
| public\admin\components\echarts\theme\tool\option                                                                                                                                   |          6 |      3,506 |        109 |         10 |      3,625 |
| public\admin\components\ueditor                                                                                                                                                     |         52 |        441 |         61 |         52 |        554 |
| public\admin\components\ueditor (Files)                                                                                                                                             |          3 |          3 |          5 |          2 |         10 |
| public\admin\components\ueditor\dialogs                                                                                                                                             |         10 |        298 |         11 |         18 |        327 |
| public\admin\components\ueditor\dialogs (Files)                                                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| public\admin\components\ueditor\dialogs\image                                                                                                                                       |          3 |        102 |         11 |         11 |        124 |
| public\admin\components\ueditor\dialogs\preview                                                                                                                                     |          1 |         39 |          0 |          2 |         41 |
| public\admin\components\ueditor\dialogs\table                                                                                                                                       |          5 |        156 |          0 |          5 |        161 |
| public\admin\components\ueditor\kityformula-plugin                                                                                                                                  |         15 |        109 |         29 |         23 |        161 |
| public\admin\components\ueditor\kityformula-plugin (Files)                                                                                                                          |          4 |         93 |          2 |         16 |        111 |
| public\admin\components\ueditor\kityformula-plugin\kityformula                                                                                                                      |         11 |         16 |         27 |          7 |         50 |
| public\admin\components\ueditor\kityformula-plugin\kityformula\assets                                                                                                               |          6 |          6 |         10 |          6 |         22 |
| public\admin\components\ueditor\kityformula-plugin\kityformula\assets\styles                                                                                                        |          4 |          4 |          2 |          4 |         10 |
| public\admin\components\ueditor\kityformula-plugin\kityformula\assets\theme                                                                                                         |          2 |          2 |          8 |          2 |         12 |
| public\admin\components\ueditor\kityformula-plugin\kityformula\assets\theme\default                                                                                                 |          2 |          2 |          8 |          2 |         12 |
| public\admin\components\ueditor\kityformula-plugin\kityformula\js                                                                                                                   |          5 |         10 |         17 |          1 |         28 |
| public\admin\components\ueditor\lang                                                                                                                                                |          2 |          2 |          0 |          0 |          2 |
| public\admin\components\ueditor\lang\en                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| public\admin\components\ueditor\lang\zh-cn                                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| public\admin\components\ueditor\themes                                                                                                                                              |          4 |          4 |          5 |          6 |         15 |
| public\admin\components\ueditor\themes (Files)                                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| public\admin\components\ueditor\themes\default                                                                                                                                      |          3 |          3 |          5 |          5 |         13 |
| public\admin\components\ueditor\themes\default (Files)                                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| public\admin\components\ueditor\themes\default\css                                                                                                                                  |          2 |          2 |          5 |          4 |         11 |
| public\admin\components\ueditor\third-party                                                                                                                                         |         18 |         25 |         11 |          3 |         39 |
| public\admin\components\ueditor\third-party (Files)                                                                                                                                 |          3 |          5 |          3 |          1 |          9 |
| public\admin\components\ueditor\third-party\codemirror                                                                                                                              |          2 |          2 |          0 |          1 |          3 |
| public\admin\components\ueditor\third-party\webuploader                                                                                                                             |         11 |         16 |          0 |          1 |         17 |
| public\admin\components\ueditor\third-party\zeroclipboard                                                                                                                           |          2 |          2 |          8 |          0 |         10 |
| src                                                                                                                                                                                 |        152 |      8,759 |        354 |        681 |      9,794 |
| src (Files)                                                                                                                                                                         |          3 |        342 |          5 |         18 |        365 |
| src\api                                                                                                                                                                             |         12 |         78 |          5 |         28 |        111 |
| src\assets                                                                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src\assets\custom-theme                                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                                                                                      |          8 |        723 |         12 |         69 |        804 |
| src\components\BackToTop                                                                                                                                                            |          1 |        119 |          4 |          7 |        130 |
| src\components\Breadcrumb                                                                                                                                                           |          1 |         73 |          3 |          6 |         82 |
| src\components\Hamburger                                                                                                                                                            |          1 |         41 |          0 |          4 |         45 |
| src\components\Pagination                                                                                                                                                           |          1 |         97 |          0 |          4 |        101 |
| src\components\PanThumb                                                                                                                                                             |          1 |        128 |          0 |         13 |        141 |
| src\components\SvgIcon                                                                                                                                                              |          1 |         57 |          1 |          5 |         63 |
| src\components\ThemePicker                                                                                                                                                          |          1 |        150 |          0 |         26 |        176 |
| src\components\Ueditor                                                                                                                                                              |          1 |         58 |          4 |          4 |         66 |
| src\icons                                                                                                                                                                           |         57 |        161 |         14 |         12 |        187 |
| src\icons (Files)                                                                                                                                                                   |          2 |         11 |         14 |          8 |         33 |
| src\icons\svg                                                                                                                                                                       |         55 |        150 |          0 |          4 |        154 |
| src\layout                                                                                                                                                                          |         13 |        928 |         25 |         84 |      1,037 |
| src\layout (Files)                                                                                                                                                                  |          1 |         90 |          0 |         10 |        100 |
| src\layout\components                                                                                                                                                               |         11 |        798 |         23 |         70 |        891 |
| src\layout\components (Files)                                                                                                                                                       |          3 |        179 |          3 |         27 |        209 |
| src\layout\components\Sidebar                                                                                                                                                       |          6 |        286 |         10 |         27 |        323 |
| src\layout\components\TagsView                                                                                                                                                      |          2 |        333 |         10 |         16 |        359 |
| src\layout\mixin                                                                                                                                                                    |          1 |         40 |          2 |          4 |         46 |
| src\store                                                                                                                                                                           |          8 |        379 |         14 |         43 |        436 |
| src\store (Files)                                                                                                                                                                   |          2 |         25 |          4 |          7 |         36 |
| src\store\modules                                                                                                                                                                   |          6 |        354 |         10 |         36 |        400 |
| src\styles                                                                                                                                                                          |          8 |        699 |         31 |        168 |        898 |
| src\utils                                                                                                                                                                           |          4 |        435 |        154 |         49 |        638 |
| src\views                                                                                                                                                                           |         38 |      5,013 |         94 |        210 |      5,317 |
| src\views\answer                                                                                                                                                                    |          1 |        202 |         19 |          9 |        230 |
| src\views\components                                                                                                                                                                |          2 |        206 |          0 |          6 |        212 |
| src\views\dashboard                                                                                                                                                                 |          2 |        319 |          6 |         33 |        358 |
| src\views\dashboard (Files)                                                                                                                                                         |          1 |        265 |          2 |         31 |        298 |
| src\views\dashboard\components                                                                                                                                                      |          1 |         54 |          4 |          2 |         60 |
| src\views\dashboard\components\mixins                                                                                                                                               |          1 |         54 |          4 |          2 |         60 |
| src\views\education                                                                                                                                                                 |          2 |        176 |          0 |          8 |        184 |
| src\views\education\subject                                                                                                                                                         |          2 |        176 |          0 |          8 |        184 |
| src\views\error-page                                                                                                                                                                |          2 |        318 |          0 |          8 |        326 |
| src\views\exam                                                                                                                                                                      |         10 |      1,878 |         31 |         38 |      1,947 |
| src\views\exam\composePaper                                                                                                                                                         |          1 |        130 |         18 |          6 |        154 |
| src\views\exam\paper                                                                                                                                                                |          2 |        419 |          8 |          8 |        435 |
| src\views\exam\question                                                                                                                                                             |          7 |      1,329 |          5 |         24 |      1,358 |
| src\views\exam\question (Files)                                                                                                                                                     |          1 |        158 |          0 |          4 |        162 |
| src\views\exam\question\components                                                                                                                                                  |          1 |         60 |          0 |          3 |         63 |
| src\views\exam\question\edit                                                                                                                                                        |          5 |      1,111 |          5 |         17 |      1,133 |
| src\views\log                                                                                                                                                                       |          1 |         67 |          0 |          4 |         71 |
| src\views\login                                                                                                                                                                     |          1 |        252 |          6 |         28 |        286 |
| src\views\message                                                                                                                                                                   |          2 |        163 |          0 |          9 |        172 |
| src\views\paper                                                                                                                                                                     |          2 |        257 |          0 |          6 |        263 |
| src\views\profile                                                                                                                                                                   |          4 |        226 |          0 |         29 |        255 |
| src\views\profile (Files)                                                                                                                                                           |          1 |         51 |          0 |          6 |         57 |
| src\views\profile\components                                                                                                                                                        |          3 |        175 |          0 |         23 |        198 |
| src\views\redirect                                                                                                                                                                  |          1 |         12 |          0 |          1 |         13 |
