"filename", "language", "JSON", "JavaScript", "Properties", "Vue", "SCSS", "HTML", "YAML", "XML", "CSS", "comment", "blank", "total"
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\.env", "Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\.eslintrc.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\package-lock.json", "JSON", 14586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14587
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\package.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\postcss.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\public\index.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 0, 10, 5, 56
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\App.vue", "Vue", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\api\dashboard.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\api\examPaper.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\api\examPaperAnswer.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\api\login.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\api\question.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\api\questionAnswer.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\api\register.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\api\subject.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\api\user.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\assets\custom-theme\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\components\BackToTop\index.vue", "Vue", 0, 0, 0, 119, 0, 0, 0, 0, 0, 4, 7, 130
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\components\Pagination\index.vue", "Vue", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 4, 101
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\components\PanThumb\index.vue", "Vue", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 13, 141
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\components\SvgIcon\index.vue", "Vue", 0, 0, 0, 57, 0, 0, 0, 0, 0, 1, 5, 63
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\components\Ueditor\index.vue", "Vue", 0, 0, 0, 58, 0, 0, 0, 0, 0, 4, 4, 66
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\404.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\bug.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\chart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\clipboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\component.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\documentation.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\drag.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\education.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\email.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\exam.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\example.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\excel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\exit-fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\eye.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\form.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\gitee.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\guide.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\international.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\language.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\list.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\lock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\message.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\money.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\pdf.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\people.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\peoples.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\qq.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\question.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\shopping.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\size.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\skill.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\social-github.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\theme.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\tree-table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\users.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\wechat.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svg\zip.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\icons\svgo.yml", "YAML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 13, 5, 23
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\layout\index.vue", "Vue", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 4, 124
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\main.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 11, 56
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\router.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 3, 104
"d:\college\contest\xzs(org)\xzs-mysql-master\xzs-mysql-master\source\vue\xzs-student\src\store\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 6, 24
